@RELATION preprocess_reduce_noise

@ATTRIBUTE month REAL
@ATTRIBUTE day REAL
@ATTRIBUTE year REAL
@ATTRIBUTE capturetime {10:00,10:04,10:05,10:06,10:07,10:08,10:10,10:11,10:12,10:13,10:14,10:15,10:17,10:18,10:19,10:20,10:23,10:25,10:27,10:28,10:29,10:30,10:31,10:34,10:35,10:36,10:37,10:38,10:39,10:40,10:42,10:43,10:44,10:45,10:46,10:47,10:48,10:49,10:50,10:52,10:53,10:54,10:55,10:56,10:57,10:58,10:59,11:00,11:02,11:03,11:04,11:05,11:06,11:07,11:08,11:10,11:11,11:13,11:15,11:16,11:17,11:18,11:20,11:21,11:22,11:23,11:24,11:25,11:26,11:27,11:28,11:29,11:30,11:33,11:34,11:35,11:36,11:37,11:38,11:39,11:40,11:41,11:42,11:43,11:45,11:46,11:47,11:48,11:50,11:51,11:52,11:53,11:54,11:55,11:56,11:57,11:58,11:59,12:00,12:01,12:02,12:03,12:04,12:05,12:06,12:07,12:08,12:10,12:12,12:13,12:14,12:15,12:16,12:19,12:20,12:21,12:23,12:24,12:25,12:26,12:27,12:28,12:30,12:31,12:32,12:33,12:34,12:35,12:36,12:38,12:39,12:40,12:42,12:44,12:45,12:46,12:47,12:48,12:49,12:50,12:51,12:52,12:53,12:54,12:55,12:56,12:57,12:58,12:59,13:00,13:01,13:02,13:03,13:04,13:05,13:06,13:07,13:08,13:09,13:10,13:11,13:12,13:13,13:14,13:15,13:16,13:17,13:18,13:20,13:21,13:22,13:23,13:24,13:25,13:26,13:27,13:29,13:30,13:31,13:32,13:33,13:34,13:35,13:36,13:37,13:38,13:39,13:40,13:45,13:47,13:48,13:49,13:50,13:51,13:55,13:56,13:57,13:58,14:00,14:01,14:02,14:03,14:05,14:06,14:07,14:08,14:10,14:12,14:15,14:16,14:19,14:20,14:21,14:22,14:23,14:24,14:25,14:26,14:27,14:28,14:29,14:30,14:33,14:35,14:36,14:38,14:39,14:40,14:42,14:43,14:44,14:45,14:47,14:48,14:49,14:50,14:52,14:53,14:55,14:56,14:57,14:58,15:00,15:01,15:02,15:03,15:07,15:08,15:10,15:11,15:12,15:15,15:17,15:23,15:25,15:30,15:33,15:35,15:40,15:45,15:55,16:00,16:05,16:16,16:35,1:15,1:31,8:00,8:34,8:52,9.12,9:01,9:02,9:05,9:08,9:15,9:18,9:20,9:21,9:22,9:23,9:24,9:25,9:29,9:30,9:33,9:35,9:36,9:38,9:39,9:40,9:41,9:42,9:44,9:45,9:46,9:47,9:48,9:49,9:50,9:52,9:53,9:55,9:56,9:57,9:58,9:59}
@ATTRIBUTE species {CH,RT,SS}
@ATTRIBUTE age {A,I}
@ATTRIBUTE wing REAL
@ATTRIBUTE weight REAL
@ATTRIBUTE culmen REAL
@ATTRIBUTE hallux REAL
@ATTRIBUTE tail REAL
@ATTRIBUTE standardtail REAL
@ATTRIBUTE keelfat REAL
@ATTRIBUTE crop {0,0.125,0.234539823,0.25,0.33,0.4,0.5,0.75,1,3,4,5}

@DATA
9,27,1993,12:15,RT,I,390,1000,25.1,28.3,231,199.1821366,2.184303351,0.234539823
9,27,1993,13:00,RT,I,393,1050,28.7,29.8,222,199.1821366,2.184303351,0.234539823
9,27,1993,13:20,RT,I,378,1040,26.2,31.2,225,199.1821366,2.184303351,0.234539823
9,27,1993,15:03,RT,I,398,1110,26.5,30.9,225,199.1821366,2.184303351,0.234539823
9,28,1993,11:50,RT,I,412,1300,27.9,31.55,233,199.1821366,2.184303351,0.234539823
9,28,1993,12:45,RT,I,400,980,25.7,29.3,214,199.1821366,2.184303351,0.234539823
9,29,1993,9:53,RT,I,422,1120,26.4,28.3,233,199.1821366,2.184303351,0.234539823
9,29,1993,10:25,SS,I,202,134,12.4,13.7,158,199.1821366,2.184303351,0.234539823
9,29,1993,15:30,RT,I,394,1270,27.8,31.6,245,199.1821366,2.184303351,0.234539823
9,30,1993,13:25,RT,I,369,880,25,26.5,210,199.1821366,2.184303351,0.234539823
10,1,1993,10:20,CH,I,252,340,16,20.8,230,199.1821366,2.184303351,0.234539823
10,1,1993,10:45,CH,A,240,340,16.1,19.3,192,199.1821366,2.184303351,0.234539823
10,3,1993,13:35,RT,I,410,1255,29.7,31.4,229,199.1821366,2.184303351,0.234539823
10,4,1993,11:25,RT,I,241,1320,28.6,36.4,235,199.1821366,2.184303351,0.234539823
10,7,1993,14:40,RT,I,408,1320,30,33.4,221,199.1821366,2.184303351,0.234539823
10,9,1993,9:38,RT,I,37.2,1180,20.2,26.65,210,199.1821366,2.184303351,0.234539823
10,9,1993,10:20,RT,I,380,760,24.5,26.1,212,199.1821366,2.184303351,0.234539823
10,10,1993,11:25,RT,I,396,1250,26.6,32.5,225,199.1821366,2.184303351,0.234539823
10,10,1993,13:27,RT,I,326,772.0801782,25.2,27.7,215,199.1821366,2.184303351,0.234539823
10,11,1993,11:35,SS,I,158,100,10.8,10.5,122,199.1821366,2.184303351,0.234539823
10,11,1993,14:00,RT,I,416,1300,27.3,32.7,235,199.1821366,2.184303351,0.234539823
10,12,1993,13:15,CH,I,271,475,18.2,24.75,232,199.1821366,2.184303351,0.234539823
10,13,1993,9:23,SS,A,176,100,9.8,11.1,133,199.1821366,2.184303351,0.234539823
10,14,1993,14:05,SS,A,194,772.0801782,11.4,14.2,154,199.1821366,2.184303351,0.234539823
10,21,1993,9:20,RT,A,390,1080,30.2,29.1,209,199.1821366,2.184303351,0.234539823
10,21,1993,15:30,RT,A,391,1130,26.4,29.4,212,199.1821366,2.184303351,0.234539823
10,22,1993,16:35,RT,A,387,1160,26.8,31,209,199.1821366,2.184303351,0.234539823
10,23,1993,13:05,RT,I,420,1345,29.5,34.3,250,199.1821366,2.184303351,0.234539823
10,25,1993,14:12,RT,A,435,1385,32.6,30.6,235,199.1821366,2.184303351,0.234539823
10,26,1993,15:55,RT,A,400,1210,25.5,28.6,222,199.1821366,2.184303351,0.234539823
10,31,1993,11:35,RT,I,398,1455,28,31.5,236,199.1821366,2.184303351,0.234539823
11,5,1993,11:00,RT,I,395,1180,25,28.9,210,199.1821366,2.184303351,0.234539823
11,18,1993,10:37,RT,I,410,1500,27.1,33.2,239,199.1821366,2.184303351,0.234539823
9,6,1994,9:55,RT,I,369,1025,27.1,31.5,228,199.1821366,2.184303351,0.234539823
9,6,1994,10:40,RT,I,372,930,26.1,31.1,220,199.1821366,2.184303351,0.234539823
9,7,1994,12:27,RT,I,415,1360,28.6,33.5,233,199.1821366,2.184303351,0.234539823
9,7,1994,13:35,RT,I,412,1255,27.7,32.6,236,199.1821366,2.184303351,0.234539823
9,8,1994,12:10,SS,I,205,194,12.6,14.4,155,199.1821366,2.184303351,0.234539823
9,9,1994,9:02,SS,I,204,159,12.5,14.8,152,199.1821366,2.184303351,0.234539823
9,9,1994,10:47,SS,I,170,90,9.5,11.3,135,199.1821366,2.184303351,0.234539823
9,12,1994,11:24,CH,A,233,340,17.8,19.4,186,199.1821366,2.184303351,0.234539823
9,12,1994,13:50,RT,I,375,1065,25.9,30,216,199.1821366,2.184303351,0.234539823
9,13,1994,11:58,RT,I,385,1125,19.6,31.4,233,199.1821366,2.184303351,0.234539823
9,15,1994,12:45,RT,I,422,1340,28.7,32,248,199.1821366,2.184303351,0.234539823
9,15,1994,13:20,RT,I,391,1050,26.6,32.2,221,199.1821366,2.184303351,0.234539823
9,15,1994,13:35,RT,I,410,1210,27.5,308,227,199.1821366,2.184303351,0.234539823
9,16,1994,10:23,RT,I,385,980,26.8,27.8,223,199.1821366,2.184303351,0.234539823
9,16,1994,11:20,RT,I,381,1000,25.5,29.8,219,199.1821366,2.184303351,0.234539823
8,18,1994,12:05,RT,A,416,1390,28.1,31.3,225,199.1821366,2.184303351,0.234539823
9,18,1994,13:20,RT,I,406,1275,29,33.7,238,199.1821366,2.184303351,0.234539823
9,19,1994,12:58,RT,I,418,1180,30.1,341.4,235,199.1821366,2.184303351,0.234539823
9,19,1994,14:05,RT,I,412,1210,29.3,33.8,222,199.1821366,2.184303351,0.234539823
9,20,1994,9:05,SS,A,208,168,12.7,14.8,155,199.1821366,2.184303351,0.234539823
9,20,1994,9:33,SS,I,208,146,11.8,14.9,160,199.1821366,2.184303351,0.234539823
9,20,1994,11:04,SS,I,175,108,10,11.5,137,199.1821366,2.184303351,0.234539823
9,20,1994,12:10,SS,I,166,94,9.5,11.3,127,199.1821366,2.184303351,0.234539823
9,29,1994,13:55,RT,I,405,1085,27.7,29.9,238,199.1821366,2.184303351,0.234539823
9,20,1994,14:00,SS,A,198,188,12.2,143,150,199.1821366,2.184303351,0.234539823
9,29,1994,14:45,SS,I,200,154,12.4,14.4,150,199.1821366,2.184303351,0.234539823
9,21,1994,13:50,RT,I,380,810,25.9,28.7,229,199.1821366,2.184303351,0.234539823
9,23,1994,11:48,RT,I,381,905,27.9,29.1,227,199.1821366,2.184303351,0.234539823
9,26,1994,10:28,SS,I,169,94,9,10.2,129,199.1821366,2.184303351,0.234539823
9,26,1994,10:54,CH,I,260,420,19.6,23.9,220,199.1821366,2.184303351,0.234539823
9,26,1994,12:10,RT,I,428,1240,29.1,34.7,245,199.1821366,2.184303351,0.234539823
9,26,1994,14:02,RT,I,400,990,26.9,31.4,223,199.1821366,2.184303351,0.234539823
9,27,1994,8:00,CH,I,265,365,16.8,22.5,224,199.1821366,2.184303351,0.234539823
9,27,1994,11:55,SS,I,177,91,10.2,11.3,133,199.1821366,2.184303351,0.234539823
9,27,1994,15:40,RT,I,381,1010,25.8,31.7,210,199.1821366,2.184303351,0.234539823
9,28,1994,9:25,RT,I,403,980,26.3,29.7,234,199.1821366,2.184303351,0.234539823
9,28,1994,11:10,RT,I,382,860,26.5,29,219,199.1821366,2.184303351,0.234539823
9,28,1994,11:38,RT,I,382,970,25.8,29,216,199.1821366,2.184303351,0.234539823
9,28,1994,13:02,RT,I,399,980,27.5,29.9,230,199.1821366,2.184303351,0.234539823
9,29,1994,13:55,RT,I,380,985,23.9,29,223,199.1821366,2.184303351,0.234539823
9,29,1994,13:16,RT,I,375,990,25.6,30.6,220,199.1821366,2.184303351,0.234539823
9,30,1994,10:39,RT,I,420,1210,27.8,32.6,241,199.1821366,2.184303351,0.234539823
10,3,1994,11:13,SS,I,170,89,8.6,11,136,199.1821366,2.184303351,0.234539823
10,3,1994,13:07,SS,A,177,97,10,11.3,137,199.1821366,2.184303351,0.234539823
10,4,1994,13:37,RT,I,375,990,28,29.5,223,199.1821366,2.184303351,0.234539823
10,4,1994,14:45,RT,I,395,1170,28.1,31.7,238,199.1821366,2.184303351,0.234539823
10,5,1994,11:55,SS,A,170,93,10.1,11.2,126,199.1821366,2.184303351,0.234539823
10,5,1994,13:55,RT,I,406,1350,30.5,32,235,199.1821366,2.184303351,0.234539823
10,5,1994,15:17,RT,I,414,1370,29.3,33,240,199.1821366,2.184303351,0.234539823
10,5,1994,16:00,SS,I,173,103,9.7,19.4,137,199.1821366,2.184303351,0.234539823
10,6,1994,10:45,SS,I,209,151,12.2,13.9,160,199.1821366,2.184303351,0.234539823
10,6,1994,11:23,SS,I,177,101,10.3,12.1,140,199.1821366,2.184303351,0.234539823
10,7,1994,10:50,RT,I,388,985,26.9,29.8,220,199.1821366,2.184303351,0.234539823
10,7,1994,11:24,RT,I,277,940,26.5,30.4,218,199.1821366,2.184303351,0.234539823
10,7,1994,12:15,RT,I,423,1310,27.4,34.1,234,199.1821366,2.184303351,0.234539823
10,7,1994,15:40,RT,I,365,1035,26.1,30.8,232,199.1821366,2.184303351,0.234539823
10,7,1994,16:35,RT,I,383,965,26.1,31.8,221,199.1821366,2.184303351,0.234539823
10,10,1994,11:02,RT,I,391,1125,25.4,30.9,220,199.1821366,2.184303351,0.234539823
10,10,1994,12:01,RT,I,389,975,26.4,30.3,232,199.1821366,2.184303351,0.234539823
10,10,1994,12:23,RT,I,392,1140,26.2,29.8,214,199.1821366,2.184303351,0.234539823
10,10,1994,13:10,RT,I,375,950,25.3,29.9,225,199.1821366,2.184303351,0.234539823
10,10,1994,13:50,RT,I,410,1210,28.1,28.9,238,199.1821366,2.184303351,0.234539823
10,10,1994,15:07,SS,I,179,95,10.8,11.6,133,199.1821366,2.184303351,0.234539823
10,11,1994,8:52,SS,I,172,89,9.4,10.8,136,199.1821366,2.184303351,0.234539823
10,11,1994,12:36,SS,A,202,195,12.4,14.1,151,199.1821366,2.184303351,0.234539823
10,12,1994,11:15,SS,I,174,93,9.5,11,131,199.1821366,2.184303351,0.234539823
10,13,1994,13:05,RT,I,422,1205,28.8,31.3,238,199.1821366,2.184303351,0.234539823
10,13,1994,14:00,RT,I,385,1045,27.6,27.5,229,199.1821366,2.184303351,0.234539823
10,16,1994,12:05,RT,I,363,1090,26.6,28.8,202,199.1821366,2.184303351,0.234539823
10,16,1994,11:30,RT,I,450,1190,30.3,32.8,226,199.1821366,2.184303351,0.234539823
10,18,1994,10:00,RT,I,380,960,25.6,30.1,220,199.1821366,2.184303351,0.234539823
10,18,1994,12:35,RT,I,385,955,26.3,30.1,215,199.1821366,2.184303351,0.234539823
10,18,1994,13:30,RT,I,385,1110,24.7,30.2,122,199.1821366,2.184303351,0.234539823
10,19,1994,9:08,SS,I,171,100,19.1,11.5,134,199.1821366,2.184303351,0.234539823
10,19,1994,10:46,RT,I,380,900,24,26.5,215,199.1821366,2.184303351,0.234539823
10,19,1994,11:27,RT,I,384,1075,26.5,30.7,208,199.1821366,2.184303351,0.234539823
10,19,1994,12:15,RT,I,373,980,27.9,32.1,211,199.1821366,2.184303351,0.234539823
10,19,1994,12:55,RT,I,381,940,27.8,34.2,220,199.1821366,2.184303351,0.234539823
10,19,1994,13:35,RT,I,363,1070,25.6,30.4,204,199.1821366,2.184303351,0.234539823
10,19,1994,13:50,RT,I,409,1120,29.4,31.6,229,199.1821366,2.184303351,0.234539823
10,20,1994,12:00,RT,A,390,1060,27.6,29,205,199.1821366,2.184303351,0.234539823
10,21,1994,10:12,SS,I,204,168,12.1,14.3,155,199.1821366,2.184303351,0.234539823
10,22,1994,14:45,SS,I,197,211,11.5,13.9,150,199.1821366,2.184303351,0.234539823
10,23,1994,11:06,RT,I,420,1125,27.2,27.4,244,199.1821366,2.184303351,0.234539823
10,23,1994,11:36,RT,I,381,1100,27,28.2,225,199.1821366,2.184303351,0.234539823
10,23,1994,13:09,RT,I,408,1360,30,33.9,239,199.1821366,2.184303351,0.234539823
10,23,1994,14:25,RT,I,388,995,26.7,30.7,222,199.1821366,2.184303351,0.234539823
10,23,1994,15:00,RT,A,398,1095,21.1,31.4,209,199.1821366,2.184303351,0.234539823
10,24,1994,9:05,SS,I,209,196,12.1,14.6,164,199.1821366,2.184303351,0.234539823
10,25,1994,10:25,SS,I,209,176,11.7,15.1,159,199.1821366,2.184303351,0.234539823
10,25,1994,14:00,RT,A,394,1075,25.5,29.7,211,199.1821366,2.184303351,0.234539823
10,25,1994,14:19,SS,A,204,180,12.3,15.2,160,199.1821366,2.184303351,0.234539823
10,26,1994,9.12,SS,I,204,164,12.3,14.3,157,199.1821366,2.184303351,0.234539823
10,26,1994,10:29,SS,I,209,158,12.2,14.4,160,199.1821366,2.184303351,0.234539823
10,26,1994,11:39,RT,I,394,1140,26.8,29.2,216,199.1821366,2.184303351,0.234539823
10,26,1994,14:55,RT,I,416,1240,27.9,31.8,250,199.1821366,2.184303351,0.234539823
10,26,1994,15:40,RT,I,445,1465,29.7,34.6,260,199.1821366,2.184303351,0.234539823
10,27,1994,9:15,SS,I,209,169,12.1,14.5,164,199.1821366,2.184303351,0.234539823
10,27,1994,10:55,RT,I,388,1105,26.7,28.9,217,199.1821366,2.184303351,0.234539823
10,27,1994,11:50,RT,I,397,1010,27.1,31.4,228,199.1821366,2.184303351,0.234539823
10,27,1994,12:24,RT,I,384,1075,26.3,30.5,218,199.1821366,2.184303351,0.234539823
10,27,1994,13:37,RT,I,379,1060,27.9,30.9,220,199.1821366,2.184303351,0.234539823
10,28,1994,10:05,RT,I,393,1015,27.6,31.1,227,199.1821366,2.184303351,0.234539823
10,28,1994,10:45,RT,I,386,1100,26,30.2,211,199.1821366,2.184303351,0.234539823
10,29,1994,11:05,RT,I,397,1010,25,30.6,222,199.1821366,2.184303351,0.234539823
10,29,1994,11:50,RT,I,382,1000,26.3,30.1,225,199.1821366,2.184303351,0.234539823
11,1,1994,10:45,RT,I,386,980,25.4,30.2,221,199.1821366,2.184303351,0.234539823
11,1,1994,11:21,RT,I,417,1240,28.7,32.4,231,199.1821366,2.184303351,0.234539823
11,2,1994,11:41,RT,I,403,1360,27.9,33.1,235,199.1821366,2.184303351,0.234539823
11,2,1994,12:26,CH,A,239,183,17.3,19.2,182,199.1821366,2.184303351,0.234539823
11,2,1994,12:20,RT,I,401,1405,29.1,82.8,235,199.1821366,2.184303351,0.234539823
11,2,1994,14:52,RT,A,377,1055,27,29.1,200,199.1821366,2.184303351,0.234539823
11,6,1994,9:55,RT,A,432,1670,27.1,32.9,216,199.1821366,2.184303351,0.234539823
11,6,1994,10:30,RT,I,390,1250,26.2,30.5,223,199.1821366,2.184303351,0.234539823
11,6,1994,11:40,RT,I,381,1030,25.3,29.9,210,199.1821366,2.184303351,0.234539823
11,7,1994,11:22,RT,I,403,1040,21.80149834,29.9,229,199.1821366,2.184303351,0.234539823
11,7,1994,12:47,SS,I,213,190,12.2,15.5,160,199.1821366,2.184303351,0.234539823
11,9,1994,9:46,SS,I,172,105,10,10.8,125,199.1821366,2.184303351,0.234539823
11,9,1994,15:02,RT,I,390,1090,26.2,28.8,226,199.1821366,2.184303351,0.234539823
11,11,1994,10:00,SS,I,204,190,11.8,13.9,154,199.1821366,2.184303351,0.234539823
11,11,1994,11:59,RT,A,386,1050,28.4,29.4,207,199.1821366,2.184303351,0.234539823
11,11,1994,14:42,RT,I,402,1110,26.1,30,238,199.1821366,2.184303351,0.234539823
11,11,1994,15:01,SS,I,201,206,12.1,13.5,151,199.1821366,2.184303351,0.234539823
11,11,1994,15:23,SS,I,202,195,12.1,14.8,158,199.1821366,2.184303351,0.234539823
11,15,1994,11:40,RT,A,374,1010,24.9,30.1,197,199.1821366,2.184303351,0.234539823
11,16,1994,11:15,RT,I,358,880,24.2,28.7,250,199.1821366,2.184303351,0.234539823
11,16,1994,12:19,RT,I,370,1060,24.3,29.8,215,199.1821366,2.184303351,0.234539823
11,21,1994,10:40,RT,I,390,920,25.7,30,214,199.1821366,2.184303351,0.234539823
11,21,1994,13:33,RT,I,398,1195,26.2,29.8,230,199.1821366,2.184303351,0.234539823
9,8,1995,13:30,RT,I,360,890,26,28.4,213,199.1821366,2.184303351,0.234539823
9,8,1995,14:20,RT,I,355,900,25.3,29,214,199.1821366,2.184303351,0.234539823
9,13,1995,14:30,RT,A,375,1110,22.2,31.5,224,199.1821366,2.184303351,0.234539823
9,13,1995,14:45,SS,I,200,160,10.2,13.2,153,199.1821366,2.184303351,0.234539823
9,14,1995,10:05,SS,I,179,105,10.1,11.3,131,199.1821366,2.184303351,0.234539823
9,15,1995,9:40,SS,I,175,99,9.6,12.7,145,199.1821366,2.184303351,0.234539823
9,15,1995,9:50,SS,I,203,165,12,14.4,165,199.1821366,2.184303351,0.234539823
9,15,1995,11:05,SS,I,205,100,12,12.5,168,199.1821366,2.184303351,0.234539823
9,17,1995,11:20,SS,I,213,125,11.5,14.4,156,199.1821366,2.184303351,0.234539823
9,17,1995,12:15,RT,I,409,1100,29,32.6,215,199.1821366,2.184303351,0.234539823
9,17,1995,14:58,SS,I,202,772.0801782,21.80149834,26.41086475,164,199.1821366,2.184303351,0.234539823
9,18,1995,14:20,SS,I,195,155,11.9,14.6,155,199.1821366,2.184303351,0.234539823
9,18,1995,15:10,RT,I,415,1285,29.5,31.8,239,199.1821366,2.184303351,0.234539823
9,19,1995,10:05,CH,A,236,390,15.1,20.4,185,199.1821366,2.184303351,0.234539823
9,20,1995,10:50,RT,I,363,920,26.8,30.2,214,199.1821366,2.184303351,0.234539823
9,23,1995,10:10,RT,I,381,1025,25.4,30.8,232,199.1821366,2.184303351,0.234539823
9,26,1995,11:05,RT,A,350,940,26,29.1,205,199.1821366,2.184303351,0.234539823
9,26,1995,13:03,RT,I,398,1240,28.5,30.8,243,199.1821366,2.184303351,0.234539823
9,26,1995,12:55,RT,I,412,1160,27.8,33,255,199.1821366,2.184303351,0.234539823
9,26,1995,13:55,SS,I,203,150,11.5,13.9,159,199.1821366,2.184303351,0.234539823
